piso,degra,plot,CobTot,CobArbo,CobArbu,CobHerb,AltArbo,AltArbu,AltHerb,FitoTot,FitoArbo,FitoArbu,FitoHerb,CobHoj,ProfHoj,MasaHoj,Riqueza,Diversidad,CSII_norm,Arena,Limo,Arcilla,DA,DA_FF,Porosidad,Pedregosidad,C_tot,N_tot,CN,HumApr,CC,PMP,R10,Infiltr,ProdTot,ProdArbo,ProdArbu,ProdHerb
EscAnd,2,2,"42,4242",0,"42,4242424242424","27,5",0,"0,499714285714286","0,1175","0,2443",0,"0,212","0,0323","33,75",1,581,12,"2,18032094709578","0,048235406007646","39,8131861754776","20,8826379943867","39,3041758301357","1,22379553434171","1,15142562259921","53,8190364399355","10,4006679075584","2,86144415","0,2055404","13,8233424259595","17,1142162608287","36,2433539047494","19,1291376439207","0,3314393775","2,43246321949364E-05","229,748588901296","19,4965889012963","159,552","50,7"
EscAnd,2,3,"46,9697",0,"46,969696969697","41,25",0,"0,400258064516129","0,12","0,2375",0,"0,188","0,0495","28,75","0,75","383,69",9,"2,14932843032893","0,029360681917698","36,3268882175227","20,4573682443773","43,2157435381","1,33348067133807","1,24088647994486","49,6799746664878","13,0766489611542","2,1062004","0,15749355","13,324818966769","17,7283557592577","39,1121498815249","21,3837941222672","0,7102272375","2,4102550666439E-05","237,816378274314","15,3923782743141","165,824","56,6"
EscAnd,3,1,"30,5",0,0,"68,75",0,0,"0,09","0,0619",0,0,"0,0619","47,5",1,"119,23",9,"1,32077487468279","0,017826128307174","60,9110816857678","17,9015570065294","21,1873613077028","1,38364373213844","1,15604667989378","47,787028975908","26,7884386479869","2,23599255","0,1745068","12,9312439164596","19,6609332661376","33,4483038635443","13,7873705974066","0,25252524","0,000269205882357","69,3338764170438","21,7338764170438",0,"47,6"
EscAnd,3,2,"28,3",0,0,"46,25",0,0,"0,13","0,0601",0,0,"0,0601",55,"1,25","228,07",8,"1,25767196605027",0,"48,3862700217641","25,7033905558409","25,910339422395","1,45981224616447","1,35797571462361","44,912745427756","14,1678051351596","1,8838053","0,1706685","11,0565558621624","26,4381398944314","39,4392765742702","13,0011366798388","0,18939393","0,000293115656879","66,6",0,0,"66,6"
EscAnd,3,3,"27,2",0,0,"49,25",0,0,"0,1225","0,0603",0,0,"0,0603",30,1,"343,15",5,"1,04787089433736","0,017826128307174","52,604953175797","20,7312775971663","26,6637692270367","1,50038810210849","1,38454825764988","43,3815810525097","16,14383284133","1,930324","0,1640425","11,7783694818177","18,7642140439207","35,6263583225813","16,8621442786606","0,18939393","0,000150025919652","74,3",0,0,"74,3"
AndInf,1,1,62,0,37,39,0,"0,24775","0,172142857142857","0,10237",0,"0,0729","0,02947",16,"0,5","135,61",8,"2,15852189716692","1,28608781764692","70,39","22,465","7,15","1,4759","1,0496376825","44,305","0,473131364","2,3171438","0,153144","15,11176281","10,7227083621604","18,3874147973586","7,66470643519824","0,267776946825794","0,048640396722424","161,848775510204",0,"120,538775510204","41,31"
AndInf,1,2,76,0,59,25,0,"0,473692307692308","0,129259259259259","0,15967",0,"0,14786","0,01181","1,25","0,55","346,76",8,"1,76005151149721","0,760623943107322","70,18","21,855","7,965","1,46665","1,0131806075","44,655","0,5010716735","2,4826838","0,15376735","16,190499355","9,15780777522326","16,3852647381763","7,22745696295299","0,267776946825794","0,016568772725083","241,043265306122",0,"201,763265306122","39,28"
AndInf,1,3,59,0,49,25,0,"0,260769230769231","0,220357142857143","0,04292",0,"0,03203","0,01089","1,5","0,1","209,28",10,"2,12117493751362","0,953288239245755","74,305","17,475","8,22","1,493425","0,9961061215","43,645","0,528013669","1,97789675","0,1318894","15,030547175","8,81775466673174","16,0163106418399","7,19855597510819","0,267776946825794","0,022392263867519","154,182448979592",0,"106,922448979592","47,26"
AndInf,2,1,47,0,37,12,0,"0,228918918918919","0,146153846153846","0,05519",0,"0,04806","0,00713","1,5",4,"47,24",10,"1,75424818597401","0,639608283722115","75,67","15,405","8,92","1,61705","0,9896179615","38,98","0,617935445","0,95910355","0,07151725","12,930367155","7,60143827887652","12,6140848008623","5,01264652198574","0,408455363977534","0,039572492127517","220,05612244898",0,"106,90612244898","113,15"
AndInf,2,2,55,0,49,21,0,"0,1436","0,16","0,05231",0,"0,04058","0,01173","7,5",10,"96,09",8,"1,96068509708003","0,762396048090065","73,28","17,745","8,975","1,424725","0,8132335575","46,24","0,615187534","1,1594014","0,07334435","15,707973005","7,05399211881081","13,6405569207064","6,58656480189561","0,408455363977534","0,015155963955298","88,6134693877551",0,"65,2734693877551","23,34"
AndInf,2,3,63,0,42,35,0,"0,177488372093023","0,117297297297297","0,03489",0,"0,02444","0,01045","5,5","5,05","54,1",10,"2,4613456647303","0,876731566633464","66,34","23,665","9,995","1,43015","0,6756448195","46,03","0,7082922535","1,4987105","0,11338975","13,032922965","7,87264556659464","15,6252895148908","7,75264394829611","0,408455363977534","0,018786405447533","36,95",0,0,"36,95"
